model,domain,puzzle_id,correct,chosen_answer,candidate,judge_confidence,judge_ngrams,regex_score,is_chosen
Claude Opus 4.6,Rebus,23_2,0,echoes,twist and shout,25.0,"[""wondering if this could be a phrase"", ""TWIST AND SHOUT"", ""depending on what the shapes actually look like""]",-0.9932228765345844,0
Claude Opus 4.6,Rebus,23_2,0,echoes,leo leo,25.0,"[""representing something like"", ""LEO LEO"", ""not leading anywhere obvious""]",-1.5493562231759657,0
Claude Opus 4.6,Rebus,23_2,0,echoes,morse code,45.0,"[""What if this is about Morse code?"", ""MORSE CODE"", ""I think ECHOES feels like the most natural rebus answer""]",-5.055105299930133,0
Claude Opus 4.6,Rebus,23_2,0,echoes,sos,65.0,"[""Then N + O + S + E + S = NOSES!"", ""SOS is definitely clever"", ""torn between ECHOES and SOS""]",-10.61282563130053,0
Claude Opus 4.6,Rebus,23_2,0,echoes,shoes,75.0,"[""SHOES makes the most sense"", ""best guess despite not being entirely confident"", ""leaning toward SHOES"", ""But I keep coming back to SHOES""]",-14.842828625611336,0
Claude Opus 4.6,Rebus,23_2,0,echoes,eo,35.0,"[""EO doubled"", ""could that spell something"", ""not leading anywhere obvious""]",-22.32104002395448,0
Claude Opus 4.6,Rebus,23_2,0,echoes,echoes,95.0,"[""ECHOES keeps coming back"", ""strongest candidate"", ""confident enough to commit"", ""ECHOES is the right answer"", ""cleanest answer since those exact letters appear""]",-22.883521309511927,1
Claude Opus 4.6,Rebus,24_10,0,,minecart,45.0,"[""minecart is involved"", ""maybe minecart"", ""minecart rearrange""]",0.0,0
Claude Opus 4.6,Rebus,24_10,0,,sax appeal,20.0,"[""sax appeal"", ""no, that's a pun but the cart and T don't fit""]",0.0,0
Claude Opus 4.6,Rebus,24_10,0,,face the music,20.0,"[""face the music"", ""none of them seem to fit""]",-0.5644429523763848,0
Claude Opus 4.6,Rebus,24_10,0,,sacrament,25.0,"[""SACRAMENT"", ""too much of a stretch"", ""missing the I and X""]",-1.0446213610857993,0
Claude Opus 4.6,Rebus,24_10,0,,descartes,35.0,"[""DESCARTES keeps coming back"", ""can't make the images match"", ""doesn't quite work phonetically""]",-2.4976691765382952,0
Claude Opus 4.6,Rebus,24_10,0,,tee,41.0,"[""stands for TEA"", ""T sounds like tee"", ""just t""]",-2.765838568893578,0
Claude Opus 4.6,Rebus,24_10,0,,exact,75.0,"[""gravitating toward EXACT"", ""focus on that"", ""strongest candidates""]",-4.805246750755359,0
Claude Opus 4.6,Rebus,24_10,0,,act,50.0,"[""mine cart becomes ACT"", ""mine cart represents ACT""]",-35.67573257877319,0
Claude Opus 4.6,Rebus,24_10,0,,sax,85.0,"[""saxophone is clearly SAX"", ""definitely SAX"", ""SAX would be the first part""]",-66.90410052275669,0
Claude Opus 4.6,Rebus,24_10,0,,cart,85.0,"[""mine cart could be cart"", ""mine cart represents CART"", ""clearly just a wheeled cart""]",-97.74237206848592,0
Claude Opus 4.6,Rebus,24_5,0,sitcom,sit around,30.0,"[""wonder if \""sit around\"" could work"", ""doesn't feel like a typical rebus answer""]",0.4992527844353587,0
Claude Opus 4.6,Rebus,24_5,0,sitcom,turn right,45.0,"[""arrow pointing to the right"", ""like a \""turn right\"""", ""arrow might mean \""turn\""""]",0.3079444522768927,0
Claude Opus 4.6,Rebus,24_5,0,sitcom,recline,35.0,"[""What about \""RECLINE\"""", ""person does look like they could be reclining""]",-0.800599182292401,0
Claude Opus 4.6,Rebus,24_5,0,sitcom,that's right,25.0,"[""becomes \""THAT'S RIGHT\""?"", ""perhaps this is just a transit sign""]",-0.8163893979980261,0
Claude Opus 4.6,Rebus,24_5,0,sitcom,seat right,15.0,"[""\""Seat right\"" - no""]",-2.267615959396588,0
Claude Opus 4.6,Rebus,24_5,0,sitcom,come,55.0,"[""arrow could represent \""come\"""", ""arrow suggests COM (coming or going)""]",-2.9565487099957704,0
Claude Opus 4.6,Rebus,24_5,0,sitcom,sit right,15.0,"[""\""Sit right\"" - no"", ""I'll go with \""SIT RIGHT\"""", ""no, that's not a thing""]",-8.785619624982377,0
Claude Opus 4.6,Rebus,24_5,0,sitcom,sitcom,85.0,"[""settle on SITCOM as my best guess"", ""commit to SITCOM since it's the most satisfying"", ""SITCOM feels like the strongest answer"", ""confident SITCOM is the answer""]",-15.147709008881996,1
Claude Opus 4.6,Rebus,24_5,0,sitcom,back,45.0,"[""arrow represents \""back\"""", ""arrow points forward rather than backward""]",-33.014422670238254,0
Claude Opus 4.6,Rebus,24_5,0,sitcom,re,30.0,"[""the arrow could represent \""redo/re\"""", ""not sure how a person sitting translates to \""RE\""""]",-101.04854081488794,0
Claude Opus 4.6,Rebus,26_1,1,empty,tea,60.0,"[""tea bag"", ""tea bag represents tea"", ""combined with tea""]",12.443366336633662,0
Claude Opus 4.6,Rebus,26_1,1,empty,em,75.0,"[""M could represent em"", ""sounds like em""]",8.218613861386139,0
Claude Opus 4.6,Rebus,26_1,1,empty,empty,95.0,"[""That's it!"", ""spells out empty"", ""em-tea = empty""]",4.020594059405941,1
Claude Opus 4.6,Rebus,26_1,1,empty,mtea,15.0,"[""Mtea"", ""doesn't work directly""]",1.1572277227722771,0
Claude Opus 4.6,Rebus,26_1,1,empty,em-tea,85.0,"[""em-tea = empty"", ""combined with tea"", ""spells out""]",0.8364356435643563,0
Claude Opus 4.6,Rebus,25_8,1,ghostwriter,ghost writer,35.0,"[""Doesn't seem right"", ""Could it be""]",-0.3700631199278629,0
Claude Opus 4.6,Rebus,25_8,1,ghostwriter,boor,30.0,"[""could suggest words like"", ""BOOR""]",-0.5150285542530808,0
Claude Opus 4.6,Rebus,25_8,1,ghostwriter,ghost rider,25.0,"[""that's a stretch"", ""GHOST RIDER if R represents rider""]",-0.8642921550946798,0
Claude Opus 4.6,Rebus,25_8,1,ghostwriter,reappear,30.0,"[""not confident those fit"", ""REAPPEAR""]",-0.9187856928163508,0
Claude Opus 4.6,Rebus,25_8,1,ghostwriter,sheet,45.0,"[""sheet ghost is the key"", ""I'm looking at \""SHEET\""""]",-1.7664562669071235,0
Claude Opus 4.6,Rebus,25_8,1,ghostwriter,phantom of,40.0,"[""leading to something like"", ""PHANTOM OF...""]",-2.8718665464382327,0
Claude Opus 4.6,Rebus,25_8,1,ghostwriter,boo,45.0,"[""ghost represents a sound"", ""boo or scare""]",-4.217222723174031,0
Claude Opus 4.6,Rebus,25_8,1,ghostwriter,appear,40.0,"[""considering whether the ghost"", ""represent \""APPEAR\"""", ""simpler word I'm missing""]",-5.280553050796513,0
Claude Opus 4.6,Rebus,25_8,1,ghostwriter,ghostwriter,85.0,"[""has to be"", ""most natural phrase"", ""most logical answer"", ""ghost is literally writing""]",-6.804718966035467,1
Claude Opus 4.6,Rebus,25_8,1,ghostwriter,phantom,35.0,"[""don't quite fit"", ""cycling through other ghost-related words""]",-8.538954012623986,0
Claude Opus 4.6,Rebus,26_11,0,churchill,three ch hills,15.0,"[""no"", ""Three CH hills""]",0.0,0
Claude Opus 4.6,Rebus,26_11,0,churchill,chunnel,10.0,"[""No"", ""Chunnel""]",-0.5142045454545454,0
Claude Opus 4.6,Rebus,26_11,0,churchill,cha cha cha,35.0,"[""could be"", ""doesn't match the hills"", ""Cha cha cha""]",-1.205681818181818,0
Claude Opus 4.6,Rebus,26_11,0,churchill,churchill,75.0,"[""I keep coming back"", ""most likely answer"", ""Churchill"", ""reconsider the visual""]",-3.248863636363636,1
Claude Opus 4.6,Rebus,26_11,0,churchill,hill,45.0,"[""each hill represents"", ""word hill itself"", ""possibility""]",-15.618181818181816,0
Claude Opus 4.6,Rebus,26_11,0,churchill,ch,50.0,"[""each labeled CH"", ""each marked with CH"", ""three CHs could be""]",-42.73863636363636,0
Claude Opus 4.6,Rebus,25_3,0,prolong,pros and cons,35.0,"[""maybe it's"", ""PRO + CON"", ""where's the \""AND\""""]",0.0,0
Claude Opus 4.6,Rebus,25_3,0,prolong,it's a wrap,30.0,"[""what if the answer is"", ""where does PRO fit in""]",-0.6695663073451993,0
Claude Opus 4.6,Rebus,25_3,0,prolong,pro rap,25.0,"[""Could this be"", ""some kind of"", ""professional rapping reference""]",-3.0471296064176485,0
Claude Opus 4.6,Rebus,25_3,0,prolong,pro bono,28.0,"[""none of those seem to fit"", ""considering whether this could be""]",-5.86944096264728,0
Claude Opus 4.6,Rebus,25_3,0,prolong,turn pro,28.0,"[""considering whether this could be"", ""none of those seem to fit""]",-5.886287290047631,0
Claude Opus 4.6,Rebus,25_3,0,prolong,black belt,35.0,"[""What if the image shows"", ""someone who is a"", ""phrase could be""]",-8.078077212333918,0
Claude Opus 4.6,Rebus,25_3,0,prolong,quid pro quo,28.0,"[""doesn't quite fit"", ""considering whether this could be""]",-8.506455251942842,0
Claude Opus 4.6,Rebus,25_3,0,prolong,prolong,75.0,"[""strongest answer"", ""settling on PROLONG"", ""keep circling back to"", ""committing to that""]",-17.97516921534219,1
Claude Opus 4.6,Rebus,25_3,0,prolong,con,30.0,"[""represents a \""CON\"""", ""rolled up, like a con artist""]",-19.834093757834044,0
Claude Opus 4.6,Rebus,25_3,0,prolong,pro,50.0,"[""word \""PRO\"" on it"", ""image shows PRO"", ""PRO on the rolled item""]",-133.82944346954125,0
Claude Opus 4.6,Rebus,p93,1,ice cream,scream,45.0,"[""screaming \""i\"" = \""Scream\"" ?"", ""Or \""I scream\""""]",3.65591054313099,0
Claude Opus 4.6,Rebus,p93,1,ice cream,ice cream,95.0,"[""Yes!"", ""sounds like \""ice cream.\"""", ""ANSWER: Ice cream""]",2.7539936102236418,1
Claude Opus 4.6,Rebus,p93,1,ice cream,i scream,85.0,"[""Or \""I scream\"" = \""Ice cream\"""", ""Yes!"", ""sounds like \""ice cream.\""""]",1.6936102236421724,0
Claude Opus 4.6,Rebus,p32,1,scrambled eggs,eggs,65.0,"[""scrambled versions of \""EGGS\"""", ""rearrangements of the same letters""]",0.5586690017513134,0
Claude Opus 4.6,Rebus,p32,1,scrambled eggs,"segg    gegs
gges    egsg",45.0,[],0.3882661996497373,0
Claude Opus 4.6,Rebus,p32,1,scrambled eggs,scrambled eggs,95.0,"[""they're scrambled eggs!"", ""The answer is SCRAMBLED EGGS""]",0.0,1
Claude Opus 4.6,Rebus,puzzle104.gif,0,tax bracket,tax bracket,95.0,"[""Oh, I see it now"", ""That's the answer: tax bracket"", ""mean it's enclosed or contained""]",0.0,1
Claude Opus 4.6,Rebus,puzzle104.gif,0,tax bracket,bracket income tax,40.0,"[""could be \""income tax in brackets\"""", ""hmm""]",-0.6591145833333334,0
Claude Opus 4.6,Rebus,puzzle104.gif,0,tax bracket,gross income tax,20.0,"[""No..."", ""curly braces could represent \""gross\""""]",-0.7338541666666666,0
Claude Opus 4.6,Rebus,puzzle104.gif,0,tax bracket,income tax in brackets,45.0,"[""could be \""income tax in brackets\"""", ""curly braces are also called \""brackets\""""]",-1.2690104166666667,0
Claude Opus 4.6,Rebus,puzzle104.gif,0,tax bracket,gross,20.0,"[""represent \""gross\"""", ""No...""]",-1.453125,0
Claude Opus 4.6,Rebus,puzzle104.gif,0,tax bracket,in brackets,45.0,"[""represent \""in brackets\"""", ""curly braces are also called \""brackets\""""]",-1.739453125,0
Claude Opus 4.6,Rebus,puzzle104.gif,0,tax bracket,income tax,50.0,"[""text \""income tax\"" is inside"", ""brackets around \""income tax\""""]",-2.5845052083333333,0
Claude Opus 4.6,Rebus,puzzle119.gif,1,more often than not,more often than not,85.0,"[""this could be it"", ""it represents"", ""more often than not""]",-0.9596153846153844,1
Claude Opus 4.6,Rebus,puzzle119.gif,1,more often than not,often,50.0,"[""words \""often\"" repeated"", ""4 \""often\""s""]",-2.673076923076923,0
Claude Opus 4.6,Rebus,puzzle119.gif,1,more often than not,not,50.0,"[""\""not\"" at the bottom"", ""1 not""]",-2.7788461538461537,0
Claude Opus 4.6,Rebus,puzzle114.gif,1,two peas in a pod,two peas in a pod,95.0,"[""two peas in a pod"", ""it's \""two P's in a POD\"""", ""this fits""]",0.0,1
Claude Opus 4.6,Rebus,puzzle114.gif,1,two peas in a pod,ppod,40.0,"[""The text is \""PPOD\"""", ""written in bold black text""]",0.0,0
Claude Opus 4.6,Rebus,puzzle114.gif,1,two peas in a pod,pod,60.0,"[""part of \""POD\"""", ""in the word \""POD\""""]",0.0,0
Claude Opus 4.6,Rebus,puzzle114.gif,1,two peas in a pod,two p's in a pod,90.0,"[""two P's in POD ="", ""two P's in a pod""]",0.0,0
Claude Opus 4.6,Rebus,puzzle128.gif,1,close encounters,close encounters,95.0,"[""this means CLOSE"", ""close encounters"", ""CLOSE ENCOUNTERS""]",0.0,1
Claude Opus 4.6,Rebus,puzzle128.gif,1,close encounters,counters,50.0,"[""inside the word \""counters\"""", ""CLOSE is in counters""]",0.0,0
Claude Opus 4.6,Rebus,puzzle128.gif,1,close encounters,councloseters,45.0,"[""The text reads \""counCLOSEters\"""", ""CLOSE is embedded within""]",0.0,0
Claude Opus 4.6,Rebus,puzzle128.gif,1,close encounters,close,50.0,"[""CLOSE appearing inside"", ""CLOSE is in counters""]",0.0,0
Claude Opus 4.6,Rebus,26_6,1,photo finish,photo finish,95.0,"[""would be \""photo finish\"""", ""That's it""]",0.0,1
Claude Opus 4.6,Rebus,26_6,1,photo finish,performed,15.0,"[""Performed"", ""no""]",0.0,0
Claude Opus 4.6,Rebus,26_6,1,photo finish,profanity,35.0,"[""spell out something like"", ""profanity""]",-0.8616470588235294,0
Claude Opus 4.6,Rebus,26_6,1,photo finish,hot,50.0,"[""fire might be \""hot\"""", ""if fire represents \""hot\""""]",-4.520117647058823,0
Claude Opus 4.6,Rebus,26_6,1,photo finish,finish,65.0,"[""represents \""finish\"" in racing"", ""flag means \""finish\""""]",-5.484705882352941,0
Claude Opus 4.6,Rebus,26_6,1,photo finish,fire,55.0,"[""P + fire + O + finish"", ""just \""fire\""""]",-6.473176470588235,0
Claude Opus 4.6,Rebus,puzzle28.gif,1,feeling under the weather,feeling under the weather,100.0,"[""this represents"", ""feeling under the weather""]",0.0,1
Claude Opus 4.6,Rebus,puzzle28.gif,1,feeling under the weather,the weather,50.0,"[""shows the words"", ""the weather""]",0.0,0
Claude Opus 4.6,Rebus,puzzle28.gif,1,feeling under the weather,feeling,50.0,"[""shows the words"", ""feeling"", ""written UNDER""]",0.0,0
Claude Opus 4.6,Rebus,puzzle110.gif,1,head in the sand,head in sand,95.0,"[""could this be"", ""head in sand"", ""I think I've got it"", ""that's head in sand""]",0.0,0
Claude Opus 4.6,Rebus,puzzle110.gif,1,head in the sand,head in the sand,90.0,"[""head in the sand"", ""actually, looking at it"", ""or is the answer""]",-2.279335793357933,1
Claude Opus 4.6,Rebus,puzzle110.gif,1,head in the sand,sand,85.0,"[""word sand is formed"", ""putting head inside of"", ""s...and""]",-2.294833948339483,0
Claude Opus 4.6,Rebus,puzzle110.gif,1,head in the sand,ahead and,20.0,"[""could that spell out"", ""ahead and"", ""no, that's not right""]",-2.657749077490775,0
Claude Opus 4.6,Rebus,puzzle110.gif,1,head in the sand,s h e a d a n d,40.0,"[""image shows the text"", ""s h e a d a n d"", ""letters spell out""]",-3.8448339483394833,0
Claude Opus 4.6,Rebus,puzzle110.gif,1,head in the sand,head and shoulders,15.0,"[""maybe it's head and shoulders"", ""no wait"", ""no""]",-4.054981549815498,0
Claude Opus 4.6,Rebus,puzzle110.gif,1,head in the sand,s head and,50.0,"[""doesn't make sense as a rebus"", ""s head and"", ""looking at the positioning again""]",-7.819372693726937,0
Claude Opus 4.6,Rebus,puzzle110.gif,1,head in the sand,head and,55.0,"[""head is between"", ""then head and"", ""head and and""]",-22.73167281672817,0
Claude Opus 4.6,Rebus,puzzle110.gif,1,head in the sand,head,50.0,"[""head is in the middle"", ""head inside of""]",-26.30110701107012,0
Claude Opus 4.6,Rebus,puzzle110.gif,1,head in the sand,and,50.0,"[""s and the and"", ""on the outside""]",-36.02865928659286,0
Claude Opus 4.6,Rebus,puzzle138.gif,1,raised eyebrows,raised eyebrows,95.0,"[""represents eyebrows rising upward"", ""visual arrangement itself is"", ""this fits""]",0.0,1
Claude Opus 4.6,Rebus,puzzle138.gif,1,raised eyebrows,eyebrows,90.0,"[""the word \""eyebrows\"" is"", ""literally drawn in"", ""represents eyebrows rising""]",-0.7598119858989424,0
Claude Opus 4.6,Rebus,puzzle138.gif,1,raised eyebrows,eyebrows when i trace them from bott,85.0,"[""spell EYEBROWS when I trace"", ""them from bottom to top"", ""actually, I think""]",-0.7598119858989424,0
Claude Opus 4.6,Rebus,puzzle133.gif,1,the odds are against you,the odds are against you,95.0,"[""The odds are against you"", ""this fits"", ""Wait, let me think again"", ""ANSWER: The odds are against you""]",1.448780487804878,1
Claude Opus 4.6,Rebus,puzzle133.gif,1,the odds are against you,odds versus you,65.0,"[""odds versus you"", ""So"", ""Wait, let me think again""]",0.5439024390243903,0
Claude Opus 4.6,Rebus,puzzle133.gif,1,the odds are against you,odds vs u,60.0,"[""odds vs U"", ""So""]",0.5097560975609756,0
Claude Opus 4.6,Rebus,puzzle133.gif,1,the odds are against you,13579 vs u,45.0,"[""I see \""13579 vs U\"""", ""13579 are all odd numbers""]",0.4024390243902438,0
Claude Opus 4.6,Rebus,puzzle124.gif,1,fly by night,firefly,35.0,"[""maybe it's simply \""firefly\"""", ""could represent fire""]",-1.2391105297580118,0
Claude Opus 4.6,Rebus,puzzle124.gif,1,fly by night,red eye flight,15.0,"[""Red eye flight?"", ""No...""]",-1.3434924787442777,0
Claude Opus 4.6,Rebus,puzzle124.gif,1,fly by night,pink eye,15.0,"[""maybe it's \""pink eye\"""", ""No.""]",-1.381948986265533,0
Claude Opus 4.6,Rebus,puzzle124.gif,1,fly by night,overnight flight,15.0,"[""overnight flight?"", ""No.""]",-2.0207325049051668,0
Claude Opus 4.6,Rebus,puzzle124.gif,1,fly by night,fly-by-night,65.0,"[""I'm circling back to"", ""how the pink background fits"", ""creates that phrase""]",-2.538521909744931,0
Claude Opus 4.6,Rebus,puzzle124.gif,1,fly by night,night fly,45.0,"[""words \""night fly\"""", ""black text on a pink/magenta background"", ""arranged left to right""]",-3.334793982995422,0
Claude Opus 4.6,Rebus,puzzle124.gif,1,fly by night,fly by night,85.0,"[""I'm settling on"", ""spatial arrangement seems to be the key"", ""creates that phrase""]",-6.89300196206671,1
Claude Opus 4.6,Rebus,puzzle124.gif,1,fly by night,pink,40.0,"[""Pink could represent"", ""pink isn't the key"", ""background is pink/magenta""]",-12.903924133420537,0
Claude Opus 4.6,Rebus,puzzle124.gif,1,fly by night,fly,45.0,"[""\""night\"" and \""fly\"" are written"", ""pink + night + fly"", ""how the words are arranged""]",-23.610006540222365,0
Claude Opus 4.6,Rebus,puzzle124.gif,1,fly by night,night,45.0,"[""\""night\"" and \""fly\"" are written"", ""pink + night + fly"", ""how the words are arranged""]",-24.467625899280577,0
Claude Opus 4.6,Rebus,puzzle33.gif,1,paradox,paradox,90.0,"[""This could represent"", ""paradox""]",0.0,1
Claude Opus 4.6,Rebus,puzzle33.gif,1,paradox,pair a dox,85.0,"[""pair a dox"", ""pair of DOX""]",0.0,0
Claude Opus 4.6,Rebus,puzzle33.gif,1,paradox,dox,50.0,"[""DOX written twice"", ""pair of DOX""]",0.0,0
Claude Opus 4.6,Rebus,puzzle39.gif,1,once in a blue moon,mo once on,45.0,"[""read as \""MO once ON\"""", ""thinking about what this represents""]",0.0,0
Claude Opus 4.6,Rebus,puzzle39.gif,1,once in a blue moon,once in a blue moon,95.0,"[""completes the reference"", ""classic phrase is"", ""looking more carefully""]",-0.8728169014084506,1
Claude Opus 4.6,Rebus,puzzle39.gif,1,once in a blue moon,once upon a time,10.0,"[""no, that doesn't fit""]",-1.0633802816901408,0
Claude Opus 4.6,Rebus,puzzle39.gif,1,once in a blue moon,once in a moon,40.0,"[""could be \""once in a MOon\"""", ""no""]",-1.5356338028169012,0
Claude Opus 4.6,Rebus,puzzle39.gif,1,once in a blue moon,moon,60.0,"[""combine to spell MOON"", ""positioned inside it""]",-3.224084507042253,0
Claude Opus 4.6,Rebus,puzzle39.gif,1,once in a blue moon,mo,50.0,"[""MO and ON combine"", ""\""MO\"" + \""once\"" + \""ON\""""]",-5.840845070422535,0
Claude Opus 4.6,Rebus,puzzle39.gif,1,once in a blue moon,once,55.0,"[""positioned inside it"", ""rendered in blue text""]",-6.778028169014084,0
Claude Opus 4.6,Rebus,puzzle39.gif,1,once in a blue moon,on,50.0,"[""MO and ON combine"", ""\""MO\"" + \""once\"" + \""ON\""""]",-14.556056338028167,0
Claude Sonnet 4.6,Cryptic,cc_001,0,rookery,rookery,95.0,"[""ROOKERY works perfectly"", ""is a perfect definition"", ""That's my answer""]",1.4869634340222575,1
Claude Sonnet 4.6,Cryptic,cc_001,0,rookery,its birds are gregarious,40.0,"[""could be a definition"", ""describes the definition directly"", ""straightforward definition""]",-1.3006359300476946,0
Claude Sonnet 4.6,Cryptic,cc_001,0,rookery,gregarious,45.0,"[""means sociable"", ""could be the definition"", ""is the whole answer""]",-3.866852146263912,0
Claude Opus 4.6,Rebus,puzzle44.gif,0,overweight,pound weight,45.0,"[""could be"", ""but let me think again""]",-0.4828947368421052,0
Claude Opus 4.6,Rebus,puzzle44.gif,0,overweight,pounds overweight,55.0,"[""it's"", ""no"", ""the pounds are OVER weight""]",-0.5388157894736841,0
Claude Opus 4.6,Rebus,puzzle44.gif,0,overweight,overweight,95.0,"[""I've got it"", ""simplifies to"", ""which could be read as""]",-2.907894736842105,1
Claude Opus 4.6,Rebus,puzzle44.gif,0,overweight,pounds over weight,90.0,"[""literally sitting on top"", ""creates the phrase""]",-4.001315789473684,0
Claude Opus 4.6,Rebus,puzzle44.gif,0,overweight,weight,50.0,"[""above the word"", ""literally sitting on top of""]",-15.198684210526311,0
Claude Opus 4.6,Rebus,puzzle44.gif,0,overweight,pound,50.0,"[""also called a"", ""signs above""]",-16.136842105263156,0
Claude Opus 4.6,Rebus,puzzle55.gif,1,six feet underground,six feet underground,85.0,"[""gives us"", ""six feet underground"", ""The phrase is""]",0.0,1
Claude Opus 4.6,Rebus,puzzle55.gif,1,six feet underground,ground,50.0,"[""word \""ground\"""", ""below it""]",0.0,0
Claude Opus 4.6,Rebus,puzzle55.gif,1,six feet underground,6 feet underground,85.0,"[""gives us"", ""6 feet underground"", ""The phrase is""]",0.0,0
Claude Opus 4.6,Rebus,puzzle55.gif,1,six feet underground,6',50.0,"[""with \""6'\"" below it"", ""means 6 feet""]",0.0,0
Claude Opus 4.6,Rebus,puzzle55.gif,1,six feet underground,6 feet,75.0,"[""means 6 feet"", ""is under"", ""gives us""]",0.0,0
Gemini 3 Pro,Cryptic,cc_001,1,feather,feather,95.0,"[""FEATHER"", ""It's seven letters"", ""Yes! That's it!"", ""fits perfectly"", ""Done!""]",9.82116850127011,1
Gemini 3 Pro,Cryptic,cc_001,1,feather,birds of a feather,75.0,"[""Birds of a feather"", ""implies being gregarious"", ""on the right track""]",6.513463166807791,0
Gemini 3 Pro,Cryptic,cc_001,1,feather,gregarious,40.0,"[""means sociable"", ""immediately makes me think""]",5.23657917019475,0
Gemini 3 Pro,Cryptic,cc_001,1,feather,birds of a feather flock together,70.0,"[""The link is the phrase"", ""Birds of a feather flock together""]",3.3325994919559694,0
Gemini 3 Pro,Cryptic,cc_001,1,feather,its birds are gregarious,45.0,"[""means 'FEATHER'"", ""clue is""]",1.7273497036409822,0
Gemini 3 Pro,Cryptic,cc_001,1,feather,its birds,35.0,"[""doesn't quite work"", ""meaning society birds?""]",1.7273497036409822,0
Gemini 3 Pro,Cryptic,cc_001,1,feather,seabird,15.0,"[""briefly considered"", ""red herrings""]",0.0,0
Gemini 3 Pro,Cryptic,cc_001,1,feather,weavers,15.0,"[""briefly considered"", ""red herrings""]",0.0,0
Gemini 3 Pro,Cryptic,cc_001,1,feather,society,25.0,"[""bit of a reach"", ""doesn't quite work"", ""feels a bit too direct""]",0.0,0
Gemini 3 Pro,Cryptic,cc_001,1,feather,flocking,10.0,"[""is eight letters"", ""so no""]",0.0,0
GPT-5,Cryptic,cc_001,0,rookery,staring,35.0,"[""suggests an answer of"", ""thinking of"", ""don't seem right""]",0.7131498470948012,0
GPT-5,Cryptic,cc_001,0,rookery,starling,45.0,"[""resemble"", ""without the 'l'""]",0.3175331294597349,0
GPT-5,Cryptic,cc_001,0,rookery,eidered,30.0,"[""wonder if"", ""could the answer be"", ""mulling it over""]",0.0,0
GPT-5,Cryptic,cc_001,0,rookery,colony,25.0,"[""consider"", ""but those are six letters""]",-0.1741080530071356,0
GPT-5,Cryptic,cc_001,0,rookery,the rook's birds,15.0,"[""doesn't make sense""]",-0.5247706422018348,0
GPT-5,Cryptic,cc_001,0,rookery,rookery,85.0,"[""fits the description well"", ""aligns with the clue overall"", ""feeling like"", ""aligns well""]",-1.1601427115188585,1
GPT-5,Cryptic,cc_001,0,rookery,its birds are gregarious,50.0,"[""make sense of"", ""trying to"", ""suggests""]",-1.861518858307849,0
GPT-5,Cryptic,cc_001,0,rookery,st,40.0,"[""break down into"", ""for saint""]",-2.02986748216106,0
GPT-5,Cryptic,cc_001,0,rookery,its birds are,40.0,"[""gives me 12 letters"", ""tricky to manage""]",-2.42375127420999,0
GPT-5,Cryptic,cc_001,0,rookery,gregarious,50.0,"[""prompts me to think"", ""could indicate an anagram""]",-2.698063200815494,0
Gemini 3 Flash,Cryptic,cc_001,0,rookery,rookery,95.0,"[""Then it hits me: \""ROOKERY\""!"", ""perfectly describing a rookery"", ""ROOKERY is a frequent answer"", ""got to be \""ROOKERY\""""]",3.012202063322661,1
Gemini 3 Flash,Cryptic,cc_001,0,rookery,gregarious,45.0,"[""good potential definition"", ""synonym for gregarious"", ""definition is \""gregarious\""""]",2.257310565635005,0
Gemini 3 Flash,Cryptic,cc_001,0,rookery,flights,30.0,"[""FLIGHTS is a possibility"", ""not the same""]",0.9444681607968696,0
Gemini 3 Flash,Cryptic,cc_001,0,rookery,society,25.0,"[""SOCIETY no""]",0.9409818569903948,0
Gemini 3 Flash,Cryptic,cc_001,0,rookery,gregarious birds,41.0,"[""Common gregarious birds"", ""searching \""gregarious birds\"" online""]",0.8759871931696905,0
Gemini 3 Flash,Cryptic,cc_001,0,rookery,its birds are gregarious crossword clue,75.0,"[""searching online, using"", ""ROOKERY is a frequent answer""]",0.8047669868374243,0
Gemini 3 Flash,Cryptic,cc_001,0,rookery,flocked,35.0,"[""checking similar words"", ""FLOCKED (7)""]",0.0,0
Gemini 3 Flash,Cryptic,cc_001,0,rookery,coveys,35.0,"[""checking similar words"", ""COVEYS (6)""]",0.0,0
Gemini 3 Flash,Cryptic,cc_001,0,rookery,its birds,55.0,"[""crux of the problem"", ""entire clue be the definition"", ""what other words fit""]",-0.9380291711134824,0
Gemini 3 Flash,Cryptic,cc_001,0,rookery,sociable,35.0,"[""SOCIABLE\""? That might fit"", ""but what word links""]",-2.022767698327997,0
Gemini 2.5 Pro,Cryptic,cc_001,0,rookery,its birds,50.0,"[""its birds"", ""suggests a possessive relationship"", ""whose birds?""]",4.257425742574257,0
Gemini 2.5 Pro,Cryptic,cc_001,0,rookery,are gregarious,50.0,"[""are gregarious"", ""sociable, friendly"", ""flocking together""]",3.207425742574257,0
Gemini 2.5 Pro,Cryptic,cc_001,0,rookery,rookery,95.0,"[""ROOKERY!"", ""a perfect &lit clue"", ""strongest contender"", ""final answer is ROOKERY""]",3.135148514851485,1
Gemini 2.5 Pro,Cryptic,cc_001,0,rookery,gregarious,50.0,"[""meaning: something is gregarious"", ""result has to be gregarious""]",2.6158415841584155,0
GPT-5,Cryptic,cc_002,1,zephyr,zephyr,95.0,"[""fits perfectly"", ""answer remains clear"", ""ready to finalize"", ""all constraints satisfied""]",0.0,1
